Název,Kategorie,URL,Free Tier,Free Tier Limits,Pricing Plan 1 - Název,Pricing Plan 1 - Cena,Pricing Plan 1 - Měna,Pricing Plan 1 - Billing,Pricing Plan 2 - Název,Pricing Plan 2 - Cena,Pricing Plan 2 - Měna,Pricing Plan 2 - Billing,Pricing Plan 3 - Název,Pricing Plan 3 - Cena,Pricing Plan 3 - Měna,Pricing Plan 3 - Billing,Pricing Summary,Use Cases
Relay,Automatizace s AI,https://relay.app,True,Free tier includes limited access to features and usage.,Basic,$20,USD,monthly,Pro,$50,USD,monthly,Enterprise,Custom,USD,annual,"Relay.app offers a free tier with limited features, along with several paid plans that provide additional features and support.","Relay.app je aplikace, která umožňuje snadné vytváření a správu AI agentů pro různé obchodní úkoly. Uživatelé mohou automatizovat procesy, analyzovat data a zjednodušit pracovní postupy pomocí intuitivního rozhraní.

• Kvalifikace leadů pomocí automatizovaných otázek.
• Tvorba příspěvků na sociální média na základě nápadů v Google Sheets.
• Automatizované shrnutí schůzek a následné e-maily.
• Sledování SEO pozic webových stránek v Google vyhledávání.
• Denní shrnutí podpůrných problémů s automatickými souhrny."
Make,Automatizace s AI,https://www.make.com,True,"Up to 1,000 credits/month",Free,$0,USD,monthly,Core,$9,USD,monthly,Pro,$16,USD,monthly,"Make offers a variety of plans to cater to different automation needs, starting with a free tier and scaling up to custom enterprise solutions.","Aplikace Make je vizuální platforma pro orchestraci, která umožňuje týmům vytvářet, zrychlovat a škálovat procesy pomocí umělé inteligence a automatizace. Pomáhá firmám dosáhnout plného potenciálu tím, že zjednodušuje složité úkoly a zajišťuje efektivní integraci různých aplikací.

• Automatizace správy incidentů v IT pro rychlejší řešení problémů.
• Vytváření personalizovaných marketingových kampaní pomocí AI analýzy dat.
• Integrace různých aplikací pro zjednodušení pracovních procesů v týmu.
• Monitorování výkonu automatizovaných procesů v reálném čase pro optimalizaci efektivity.
• Zrychlení procesu zákaznické podpory pomocí AI agentů pro rychlé odpovědi."
Zapier,Automatizace s AI,https://zapier.com,True,100 tasks per month,Free,$0 /mo,USD,monthly,Professional,$19.99 /mo,USD,annual,Team,$69 /mo,USD,annual,"Zapier offers a free tier with limited tasks and several paid plans that provide additional features and capabilities, with discounts for annual billing.","Zapier je platforma pro automatizaci pracovních toků, která umožňuje uživatelům snadno propojit různé aplikace a služby. Pomocí AI a automatizace mohou týmy zefektivnit své procesy a ušetřit čas na rutinní úkoly.

• Automatizace IT podpory pomocí AI chatbotů, kteří odpovídají na časté dotazy.
• Zpracování a kvalifikace leadů automaticky bez ztráty příležitosti.
• Generování a odesílání týdenních zpráv pomocí AI.
• Automatizace onboardingu zaměstnanců s pomocí AI asistenta.
• Zpracování zákaznických dotazů a požadavků pomocí AI agentů."
Bardeen,Komunikace a marketing,https://www.bardeen.ai,True,100 credits per month to build and test automations.,Starter,$129,USD,monthly,Starter,$99,USD,annually,Teams,$500,USD,monthly,Bardeen offers a free plan with limited credits and several paid plans that provide increasing levels of credits and features.,"Bardeen je platforma pro automatizaci a workflow, která pomáhá týmům GTM eliminovat manuální úkoly a zjednodušit procesy. Spojuje a integruje oblíbené nástroje, což umožňuje automatizaci opakujících se pracovních postupů, správu dat napříč systémy a zlepšení spolupráce.

• Automatizace objevování leadů a jejich zadávání do CRM.
• Příprava na zákaznické schůzky a analýza metrik zapojení.
• Sledování stavu leadů a zajištění přesnosti dat.
• Vytváření zpráv o konkurenci a sledování zdraví pipeline.
• Generování denních/týdenních shrnutí výkonu týmu."
Gumloop,AI agenti,https://gumloop.com,True,"2k credits/month, 1 Seat, 1 Active Trigger, 2 Concurrent Runs, Gummie Agent, Forum Support, Unlimited Nodes, Unlimited Flows",Solo,$37,USD,monthly,Team,$244,USD,monthly,Enterprise,Custom Pricing,USD,custom,"Gumloop offers a free tier with limited credits and features, along with paid plans that scale based on the number of credits and additional features.","Gumloop je platforma pro automatizaci, která umožňuje uživatelům snadno vytvářet pracovní toky pomocí intuitivního rozhraní s funkcí drag and drop. Umožňuje integraci dat, aplikací a umělé inteligence pro zefektivnění pracovních procesů.

• Automatizace marketingových kampaní pomocí AI pro generování obsahu a analýzu dat.
• Vytváření a odesílání reportů o výkonnosti sociálních médií pomocí AI.
• Automatizace správy zákaznických tiketů a prioritizace pomocí AI.
• Generování a odesílání e-mailů pro plánování schůzek s vedením.
• Automatizace aktualizací v Salesforce a dalších CRM systémech."
Runbear,AI agenti,https://runbear.io,True,7-Day Free Trial available for all plans.,Individual,$15 / month,USD,monthly,Team,$79 / month,USD,monthly,Business,$319 / month,USD,monthly,"Runbear offers a variety of pricing plans suitable for individuals, teams, and enterprises, with a free trial available for all plans.","Runbear je aplikace, která umožňuje vytvářet AI agenty, kteří pracují jako členové vašeho týmu. Bez nutnosti programování můžete snadno automatizovat opakující se úkoly a zefektivnit pracovní procesy přímo v nástrojích, které již používáte, jako je Slack nebo Teams.

• Propojení zákaznických podpůrných tiketů s existujícími problémy produktu pomocí AI.
• Automatizace třídění e-mailů pomocí AI agenta, který shrnuje a směruje zprávy.
• Získání okamžitých odpovědí přímo v Zendesk pomocí AI agenta.
• Automatizace reportování klíčových ukazatelů výkonnosti (KPI) pomocí AI agentů.
• Vytvoření chatbotu pro zjednodušení onboardingového procesu nových členů týmu."
Relevance AI,AI agenti,https://relevanceai.com,True,"200 Actions per month, 1 User & 1 Project, 30-Day Task History, 2000+ Integrations, Marketplace Access, Community Forum, SOC 2 & GDPR Compliance",Free,$0,USD,monthly,Pro,$19,USD,monthly,Team,$234,USD,monthly,"The pricing model includes a free tier with limited actions and features, while paid plans offer more actions, users, and advanced features.","Aplikace Relevance AI umožňuje týmům vytvářet a spravovat AI pracovní síly, které vykonávají úkoly s lidskou kvalitou. Uživatelé mohou snadno přizpůsobit AI agenty pro různé obchodní potřeby a zefektivnit tak své pracovní procesy.

• Vytváření AI agentů pro automatizaci prodeje a marketingu.
• Použití AI agentů pro výzkum a přípravu na obchodní schůzky.
• Nasazení vlastních AI agentů pro specifické úkoly bez nutnosti programování.
• Zlepšení efektivity zákaznické podpory pomocí AI agentů.
• Využití AI pro analýzu dat a generování reportů."
Simular,AI agenti,https://www.simular.ai,False,,Simular Plus,$20,USD,monthly,Simular Pro,$500,USD,monthly,Simular Enterprise,Contact for price,USD,monthly,"Simular offers three pricing plans: Plus for individuals at $20/month, Pro for businesses at $500/month, and Enterprise with custom pricing for large-scale needs.","Simular je pokročilá platforma pro automatizaci počítačových úloh, která umožňuje uživatelům efektivně řídit a optimalizovat pracovní procesy. Díky svým AI agentům, kteří se učí z interakcí s uživateli, usnadňuje každodenní úkoly a zvyšuje produktivitu.

• Automatizace rutinních úkolů na desktopu, jako je správa e-mailů a plánování schůzek.
• Generování podcastů z aktuálních zpráv během několika minut.
• Porovnávání cen produktů z různých zdrojů pro efektivní nákup.
• Získávání informací o tarifech a daních v reálném čase.
• Plánování akcí, jako jsou narozeninové oslavy, s pomocí automatizovaných nákupních seznamů."
Suna,AI agenti,https://www.suna.so,False,,,,,,,,,,,,,,Na této stránce nejsou uvedeny žádné informace o cenách a plánech.,"Aplikace Suna je navržena pro efektivní správu a analýzu dat. Umožňuje uživatelům snadno organizovat, vizualizovat a sdílet informace, což zjednodušuje rozhodovací procesy.

• Uživatelé mohou vytvářet interaktivní prezentace dat pro obchodní schůzky.
• Aplikace umožňuje týmům spolupracovat na projektech a sdílet aktualizace v reálném čase.
• Suna může být použita k analýze trendů v datech a generování reportů pro vedení.
• Uživatelé mohou importovat data z různých zdrojů a provádět jejich analýzu v jednom rozhraní.
• Aplikace podporuje integraci s dalšími nástroji pro zefektivnění pracovních procesů."
Synthesia,AI avatary,https://www.synthesia.io,True,3 minutes of video/month,Basic,$0/mo,USD,monthly,Starter,$29/mo,USD,monthly,Creator,$89/mo,USD,monthly,"Synthesia offers a free tier with limited video generation capabilities, and several paid plans that provide increasing features and video generation limits.","Synthesia je platforma pro snadné vytváření, lokalizaci a publikaci AI videí. Umožňuje uživatelům vytvářet profesionální videa bez potřeby natáčení a produkce, což zefektivňuje proces školení a interní komunikace.

• Vytváření školících videí pro zaměstnance, které lze snadno aktualizovat a přizpůsobit.
• Překlad videí do více než 140 jazyků pro globální publikum.
• Vytváření marketingového obsahu s AI avatarem pro zvýšení angažovanosti.
• Zjednodušení interní komunikace pomocí rychlého vytváření videí pro oznámení a aktualizace.
• Automatizace procesu vytváření videí pro školení a compliance, což šetří čas a náklady."
Heygen,AI avatary,https://www.heygen.com,True,"3 videos per month, videos up to 3-mins, 720p video export, standard video processing, access to Avatar IV video generation.",Free,$0/mo,USD,monthly,Creator,$29/mo,USD,monthly,Team,$39/seat/mo,USD,monthly,"HeyGen offers a free tier for basic video generation and two paid plans for creators and teams, with varying features and pricing.","HeyGen je pokročilý generátor videí založený na umělé inteligenci, který umožňuje snadno a rychle vytvářet videa z textu, obrázků nebo zvukových klipů. Tento nástroj automatizuje celý proces produkce videa, včetně hlasového překladu a přizpůsobení stylu, což usnadňuje tvorbu obsahu pro různé účely.

• Vytváření školících videí pro zaměstnance a zajištění jejich rozvoje.
• Produkování marketingových videí z blogových příspěvků nebo PDF dokumentů.
• Personalizovaná videa pro prodejní prezentace a následné kontakty se zákazníky.
• Rychlá lokalizace videí do více než 175 jazyků pro globální publikum.
• Vytváření videí pro sociální média, jako je TikTok, bez potřeby zkušeností s editací."
Opus Clip,Editace videí,https://opus.pro,True,No credit card required. Free clips every month.,Free,$0,USD,monthly,Starter,$15/mo,USD,monthly,Pro,$29/mo,USD,monthly,"OpusClip offers a free tier with limited features and three paid plans (Starter, Pro, and Business) with increasing capabilities and pricing.","OpusClip je revoluční aplikace, která využívá umělou inteligenci k automatizaci procesu úpravy videí. Umožňuje uživatelům rychle a efektivně vytvářet krátké klipy z dlouhých videí, což zvyšuje jejich dosah a angažovanost na sociálních médiích.

• Vytváření virálních klipů z dlouhých videí pro sociální média.
• Automatizace procesu úpravy videí pro vlogy a podcasty.
• Zlepšení sledovanosti a angažovanosti díky rychlému generování krátkých videí.
• Použití AI pro přizpůsobení videí různým platformám a formátům.
• Zvýšení počtu zhlédnutí a interakcí díky efektivnímu repurposing obsahu."
Descript,Editace videí,https://www.descript.com,True,Get started on your creative journey with text-based editing and give our AI tools a spin.,Hobbyist,$16,USD,per person / month,Creator,$24,USD,per person / month,Business,$50,USD,per person / month,"Descript offers a free tier for basic features, with paid plans starting at $16 per month for the Hobbyist plan, scaling up to custom pricing for enterprise solutions.","Descript je revoluční aplikace pro úpravu videa, která umožňuje uživatelům snadno a rychle editovat videa pomocí textového rozhraní. Díky pokročilým AI nástrojům a intuitivnímu ovládání mohou uživatelé vytvářet profesionální videa bez nutnosti složitého školení.

• Uživatelé mohou vytvářet marketingová videa pro propagaci svých produktů.
• Vzdělávací instituce mohou snadno vytvářet školící videa pro interní školení zaměstnanců.
• Podcasteri mohou nahrávat a editovat své podcasty s využitím pokročilých funkcí pro úpravu zvuku.
• Tvořitelé obsahu mohou rychle generovat klipy pro sociální média pomocí AI nástrojů.
• Firmy mohou vytvářet videa pro zákaznickou podporu, aby efektivněji komunikovaly s klienty."
Captions,Editace videí,https://captions.ai,True,"The free version includes basic tools like trimming, transitions, and some media library assets, but has a more limited feature set compared to paid plans.",Pro,$9.99/mo*,USD,monthly,Max,$24.99/mo,USD,monthly,Scale,$69.99/mo,USD,monthly,"Captions offers a free tier with limited features, while paid plans provide advanced AI editing tools and additional support.","Aplikace Captions je revoluční nástroj pro tvorbu krátkých videí, který využívá umělou inteligenci k automatizaci editace a překladu. Umožňuje uživatelům snadno vytvářet a upravovat videa s realistickým pohybem rtů a podporou více než 28 jazyků.

• Uživatelé mohou rychle generovat videa pomocí AI, která automaticky editují obsah v reálném čase.
• Aplikace umožňuje překlad videí do více než 28 jazyků s odpovídajícím pohybem rtů.
• Tvůrci obsahu mohou využít 3D avatara pro personalizaci svých videí.
• Uživatelé mohou snadno sdílet svá videa na sociálních sítích a oslovit tak širší publikum.
• Aplikace je ideální pro marketingové specialisty, kteří chtějí vytvářet atraktivní videa pro propagaci svých produktů."
Clipchamp,Editace videí,https://www.microsoft.com/en-us/microsoft-365/clipchamp,True,"For 1 person, unlimited watermark-free exports, up to 1080p (HD) export resolution, editing tools including trim, crop, and speed control, free filters, effects, and stock media including audio, video, graphics, and stickers, image background removal.",Microsoft 365 Personal,$9.99,USD,monthly,Microsoft 365 Family,$12.99,USD,monthly,Microsoft 365 Business Standard,$12.50,USD,monthly,"Microsoft Clipchamp offers a free tier with essential features for individual use, along with various paid plans for personal, family, and business needs.","Microsoft Clipchamp je intuitivní video editor, který umožňuje snadno vytvářet, sdílet a upravovat videa pro práci, školu a osobní projekty. Aplikace nabízí širokou škálu nástrojů pro úpravy, včetně AI text-to-speech, automatických titulků a šablon, což usnadňuje tvorbu profesionálně vypadajících videí i pro začátečníky.

• Úprava videí pro pracovní prezentace a školení.
• Vytváření vzdělávacích videí pro studenty a učitele.
• Přidávání titulků a přepisů pro zajištění přístupnosti videí.
• Sledování výkonu videí pomocí analytiky pro optimalizaci obsahu.
• Sdílení videí v rámci pracovních nástrojů jako Teams a SharePoint."
Skyreels,Tvorba videí,https://www.skyreels.ai,True,"7-Day Free Trial + 1,000 FREE credits",Basic,$7.9,USD,monthly,Standard,$28,USD,monthly,Pro,$76,USD,monthly,"SkyReels offers a free tier with a 7-day trial and three paid plans: Basic, Standard, and Pro, each with increasing features and credit renewals.","SkyReels je komplexní AI studio, které umožňuje uživatelům snadno vytvářet a editovat videa, obrázky a hudbu pomocí pokročilých AI modelů a šablon. Platforma nabízí intuitivní drag-and-drop rozhraní, které usnadňuje kreativní proces a umožňuje uživatelům soustředit se na uměleckou stránku jejich projektů.

• Vytváření dlouhých, kinematografických hudebních videí s unikátním stylem.
• Zrychlení kreativního procesu pro filmaře, což umožňuje testování různých variant a narativů bez rizika.
• Použití funkce Chat Story Music Video pro rychlé přetvoření nápadů na hotové klipy.
• Vytváření profesionálních reklamních videí s intuitivním uživatelským rozhraním, které usnadňuje práci i začátečníkům.
• Generování originální hudby na základě textu, nálady nebo značky."
TwelveLabs,Tvorba videí,https://www.twelvelabs.io,True,"Up to 10 hours of indexing, 50 API calls per day, and various other free features.",Free,Free,USD,monthly,Developer,Pay as you go,USD,per use,Enterprise,Custom,USD,custom,"TwelveLabs offers a free tier with limited features, followed by a pay-as-you-go Developer plan and a customizable Enterprise plan.","TwelveLabs je aplikace, která využívá umělou inteligenci k analýze a porozumění video obsahu. Umožňuje uživatelům vyhledávat, analyzovat a automatizovat pracovní postupy napříč celým video obsahem.

• Vyhledávání konkrétních scén v videu pomocí přirozeného jazyka.
• Zrychlení produkce v mediálním a zábavním průmyslu pomocí AI.
• Identifikace kritických událostí v reálném čase pro vládní a bezpečnostní účely.
• Zlepšení efektivity reklamních kampaní pomocí AI analýzy videa.
• Vytváření personalizovaného obsahu pro fanoušky sportovních týmů pomocí generativní AI."
Google Vids,Tvorba videí,https://workspace.google.com/products/vids,True,14-day free trial available for new users.,Business Starter,$3.50,USD,monthly,Business Standard,$7,USD,monthly,Business Plus,$15.40,USD,monthly,"Google Workspace offers a range of plans starting from $3.50 per user per month, with a 14-day free trial available for new users.","Google Vids je aplikace, která umožňuje snadné a efektivní vytváření videí pro pracovní účely. Pomocí umělé inteligence a spolupráce týmů můžete vytvářet poutavé příběhy a sdílet je s ostatními.

• Vytváření školících videí pro zaměstnance pomocí nahrávání obrazovky a prezentací.
• Spolupráce na projektech s týmem prostřednictvím sdílených videí a komentářů.
• Vytváření marketingových videí s využitím royalty-free médií a šablon.
• Personalizace videí pro firemní oznámení a aktualizace schůzek.
• Generování videí z textových promptů pro rychlé a efektivní sdílení informací."
Runway ML,Tvorba videí,https://runwayml.com,True,"Includes 125 credits (one time), 125 credits = 25s of Gen-4 Turbo or Gen-3 Alpha Turbo",Standard,$12,USD,per user per month,Pro,$28,USD,per user per month,Unlimited,$76,USD,per user per month,Runway offers a free tier with limited credits and several paid plans that provide additional features and credits for individuals and teams.,"Runway je nový kreativní nástroj, který poskytuje vše potřebné k generování videí, obrázků nebo jakéhokoli obsahu, který si přejete. S desítkami nástrojů a nekonečnými možnostmi vytváření, Runway mění způsob, jakým se práce vytváří napříč všemi odvětvími.

• Odstranění nežádoucích prvků z videa pomocí jednoduchého příkazu.
• Transformace produktových fotografií bez nutnosti nového natáčení.
• Zvýšení rozlišení videa jedním kliknutím.
• Přidání dialogu postavám tím, že napíšete, co by měly říct.
• Změna stylu obrázku a jeho přetvoření do různých uměleckých nálad."
Kling AI,Tvorba videí,https://klingai.com,False,,Basic,$20,USD,monthly,Pro,$50,USD,monthly,,,,,The pricing model includes a Basic plan at $20 per month and a Pro plan at $50 per month.,"Kling AI je platforma, která umožňuje uživatelům generovat různé typy obsahu pomocí umělé inteligence. Aplikace nabízí nástroje pro generaci videí, obrázků a zvuků, což usnadňuje kreativní proces pro jednotlivce i firmy.

• Generování videí pro marketingové kampaně.
• Vytváření originálních obrázků pro sociální média.
• Generování zvukových efektů pro videohry.
• Použití AI pro automatizaci grafického designu.
• Vytváření personalizovaných prezentací pro obchodní jednání."
Higgsfield AI,Tvorba videí,https://higgsfield.ai,True,Limited use,Basic,$9/month,USD,Billed annually,Pro,$29,USD,Billed annually,Ultimate,$49,USD,Billed annually,The pricing model includes a free tier with limited use and several paid plans that offer increasing credits and features.,"Tato aplikace slouží k vytváření a generování videí s pokročilými vizuálními efekty a animacemi. Umožňuje uživatelům snadno vytvářet profesionální videa s různými scénáři a efekty, které mohou být použity pro marketing, zábavu nebo osobní projekty.

• Generování videí s neomezenými efekty pro marketingové kampaně.
• Vytváření personalizovaných videí pro oslavy a události.
• Použití pokročilých animací pro prezentaci produktů.
• Vytváření zábavných videí pro sociální média s trendy efekty.
• Generování videí s realistickými vizuálními efekty pro filmové projekty."
ElevenLabs,Audio a hlas,https://elevenlabs.io,True,"10k credits/month, requires attribution and does not have commercial licensing",Free,$0 per month,USD,monthly,Starter,$5 per month,USD,monthly,Creator,$11 per month (first month 50% off),USD,monthly,"Eleven Labs offers a variety of pricing plans ranging from a free tier to enterprise solutions, catering to different needs and usage levels.","ElevenLabs je AI platforma zaměřená na generování realistického hlasu a řeči pomocí pokročilé technologie text-to-speech (TTS), speech-to-text (STT), klonování hlasu a konverzační AI agenty s latencí pod 100 ms. Umožňuje tvorbu profesionálních voiceoverů, lokalizaci obsahu do různých jazyků a vytváření hlasových agentů pro real-time konverzace.

• Generování voiceoverů pro YouTube a TikTok videa bez nutnosti nahrávání vlastního hlasu
• Tvorba podcastů a audioknih s různými hlasy a emocemi pro škálovatelnou produkci
• Lokalizace videí a reklamních spotů do různých jazyků s přirozenou výslovností
• Vytváření hlasových asistentů a IVR systémů pro zákaznický servis s latencí pod 100 ms
• Klonování vlastního hlasu z audio vzorků pro personalizované audio obsahy"
Play.ht,Audio a hlas,https://play.ht,True,"Allows limited access to features for testing purposes, with restrictions on the number of words converted to audio files.",Basic,$20,USD,monthly,Pro,$50,USD,monthly,Enterprise,Custom pricing,USD,annual,"PlayAI offers a free tier for limited use, with paid plans starting at $20 per month for additional features and capabilities.","Aplikace PlayAI je pokročilý generátor hlasu, který převádí text na přirozeně znějící řeč v reálném čase. Umožňuje uživatelům vytvářet realistické hlasové nahrávky pro různé účely, jako jsou videa, audioknihy a e-learning.

• Vytváření profesionálních hlasových nahrávek pro marketingové videa.
• Generování audioknih s realistickými hlasy pro lepší zážitek posluchačů.
• Použití AI hlasů pro automatizaci IVR systémů a zlepšení zákaznického servisu.
• Vytváření e-learningových materiálů s přizpůsobenými hlasy pro výuku.
• Nahrávání podcastů s více mluvčími pro přirozenější konverzaci."
